Date,Time,UTC,Receiver,ID,Lat,Long,Dist,VR100det,RecDet
6/3/2021,15:05.1,15:05.1,Charles,120251,32.85563,-117.27524,336.3434181,1,1
6/3/2021,14:39.3,14:39.3,Charles,120251,32.85556,-117.27514,330.9959704,1,1
6/3/2021,14:13.5,14:13.5,Charles,120251,32.85553,-117.27505,324.8550469,1,1
6/3/2021,13:47.7,13:47.7,Charles,120251,32.8555,-117.27488,312.2334302,1,1
6/3/2021,13:21.9,13:21.9,Charles,120251,32.85544,-117.27467,298.4364303,1,1
6/3/2021,12:57.1,12:57.1,Charles,120251,32.85539,-117.27453,290.3082404,1,0
6/3/2021,12:31.3,12:31.3,Charles,120251,32.85533,-117.27438,282.5556545,1,1
6/3/2021,12:05.5,12:05.5,Charles,120251,32.85527,-117.27425,276.9213576,1,1
6/3/2021,11:39.7,11:39.7,Charles,120251,32.85518,-117.27407,270.6220003,1,1
6/3/2021,11:13.9,11:13.9,Charles,120251,32.85511,-117.27393,266.6155487,1,0
6/3/2021,10:48.1,10:48.1,Charles,120251,32.85505,-117.27377,261.3646214,1,1
6/3/2021,10:22.3,10:22.3,Charles,120251,32.85499,-117.27364,258.7702818,1,1
6/3/2021,09:30.7,09:30.7,Charles,120251,32.85488,-117.27337,254.3324183,1,0
6/3/2021,09:04.9,09:04.9,Charles,120251,32.85481,-117.27323,254.4924842,1,1
6/3/2021,08:40.0,08:40.0,Charles,120251,32.85472,-117.2731,257.9678286,1,0
6/3/2021,07:48.5,07:48.5,Charles,120251,32.85461,-117.27289,261.7692484,1,0
6/3/2021,02:16.0,02:16.0,Charles,120251,32.85441,-117.2729,283.0268412,1,0
6/3/2021,01:24.4,01:24.4,Charles,120251,32.85456,-117.27296,269.2444747,1,0
6/3/2021,01:16.2,01:16.2,Charles,120251,32.85457,-117.27296,268.2078133,1,0
6/3/2021,01:07.9,01:07.9,Charles,120251,32.85458,-117.27298,267.8464585,1,0
6/14/2021,29:37.6,29:37.6,LJK7,120265,32.84636,-117.29623,326.5157927,1,0
6/14/2021,29:11.9,29:11.9,LJK7,120265,32.84636,-117.29623,317.6047118,1,0
6/14/2021,28:47.0,28:47.1,LJK7,120265,32.84636,-117.29623,310.6037277,1,0
6/14/2021,28:21.3,28:21.3,LJK7,120265,32.84636,-117.29623,300.5942656,1,0
6/14/2021,27:55.5,27:55.5,LJK7,120265,32.84636,-117.29623,291.5424012,1,0
6/14/2021,27:30.7,27:30.7,LJK7,120265,32.84636,-117.29623,281.6745896,1,0
6/14/2021,27:05.0,27:05.0,LJK7,120265,32.84636,-117.29623,273.3087485,1,0
6/14/2021,26:13.5,26:13.5,LJK7,120265,32.84636,-117.29623,253.9927132,1,0
6/14/2021,25:47.7,25:47.7,LJK7,120265,32.84636,-117.29623,244.2344159,1,0
6/14/2021,25:22.9,25:22.9,LJK7,120265,32.84636,-117.29623,235.0585783,1,0
6/14/2021,24:57.2,24:57.2,LJK7,120265,32.84636,-117.29623,226.8754783,1,1
6/14/2021,24:31.4,24:31.4,LJK7,120265,32.84636,-117.29623,215.7551771,1,0
6/14/2021,24:05.6,24:05.6,LJK7,120265,32.84636,-117.29623,206.7192917,1,1
6/14/2021,23:39.9,23:39.9,LJK7,120265,32.84636,-117.29623,196.8168155,1,1
6/14/2021,23:14.1,23:14.1,LJK7,120265,32.84636,-117.29623,188.765772,1,1
6/14/2021,22:23.6,22:23.6,LJK7,120265,32.84636,-117.29623,174.2282443,1,1
6/14/2021,21:57.8,21:57.8,LJK7,120265,32.84636,-117.29623,165.4216373,1,0
6/14/2021,21:32.1,21:32.1,LJK7,120265,32.84636,-117.29623,156.3872374,1,1
6/14/2021,21:06.3,21:06.3,LJK7,120265,32.84636,-117.29623,148.6828596,1,1
6/14/2021,20:40.5,20:40.5,LJK7,120265,32.84636,-117.29623,137.9551244,1,1
6/14/2021,20:14.8,20:14.8,LJK7,120265,32.84636,-117.29623,129.6266425,1,1
6/14/2021,19:49.0,19:49.0,LJK7,120265,32.84636,-117.29623,121.925977,1,1
6/14/2021,19:23.3,19:23.3,LJK7,120265,32.84636,-117.29623,110.6178684,1,1
6/14/2021,18:57.5,18:57.5,LJK7,120265,32.84636,-117.29623,101.9142493,1,1
6/14/2021,18:31.8,18:31.8,LJK7,120265,32.84636,-117.29623,95.02032592,1,1
6/14/2021,18:06.0,18:06.0,LJK7,120265,32.84636,-117.29623,87.22708522,1,1
6/14/2021,17:14.5,17:14.5,LJK7,120265,32.84636,-117.29623,69.49678482,1,1
6/14/2021,16:48.7,16:48.7,LJK7,120265,32.84636,-117.29623,65.46416058,1,1
6/14/2021,16:23.0,16:23.0,LJK7,120265,32.84636,-117.29623,55.14230587,1,1
6/14/2021,15:57.2,15:57.2,LJK7,120265,32.84636,-117.29623,43.864692,1,1
6/14/2021,15:32.4,15:32.4,LJK7,120265,32.84636,-117.29623,36.47497568,1,1
6/14/2021,15:06.7,15:06.7,LJK7,120265,32.84636,-117.29623,29.56971197,1,1
